"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2022","10/31/2021","MANHATTAN","M04","6,385","13,342","3,832","2,748","13,375","10,128"
"FY 2022","10/31/2021","MANHATTAN","M05","1,916","5,761","2,378","1,635","5,230","3,996"
"FY 2022","10/31/2021","MANHATTAN","M06","3,251","5,879","1,342","1,051","5,254","4,441"
"FY 2022","10/31/2021","MANHATTAN","M07","8,398","17,210","4,492","3,044","17,412","12,928"
"FY 2022","10/31/2021","MANHATTAN","M08","4,513","7,422","1,280","890","6,223","4,871"
"FY 2022","10/31/2021","MANHATTAN","M09","9,306","19,647","5,321","3,280","22,711","14,972"
"FY 2022","10/31/2021","MANHATTAN","M10","12,009","27,079","8,406","5,221","31,276","20,314"
"FY 2022","10/31/2021","MANHATTAN","M11","15,904","37,665","11,522","6,855","43,307","27,277"
"FY 2022","10/31/2021","MANHATTAN","M12","21,778","40,151","7,063","4,536","47,271","32,499"
"FY 2022","10/31/2021","QUEENS","Q01","16,330","25,660","4,507","2,709","24,378","14,991"
"FY 2022","10/31/2021","QUEENS","Q02","11,268","15,060","1,856","1,200","11,751","7,448"
"FY 2022","10/31/2021","QUEENS","Q03","22,371","28,505","2,962","1,885","25,170","14,720"
"FY 2022","10/31/2021","QUEENS","Q04","24,487","31,568","3,249","2,051","27,615","16,178"
"FY 2022","10/31/2021","QUEENS","Q05","13,912","19,149","2,502","1,574","20,011","11,974"
"FY 2022","10/31/2021","QUEENS","Q06","8,496","12,451","1,005","671","10,988","7,517"
"FY 2022","10/31/2021","QUEENS","Q07","30,960","41,206","4,518","2,929","29,709","19,542"
"FY 2022","10/31/2021","QUEENS","Q08","15,115","22,092","3,164","1,904","19,280","11,548"
"FY 2022","10/31/2021","QUEENS","Q09","15,634","23,059","3,795","2,254","23,967","14,010"
"FY 2022","10/31/2021","QUEENS","Q10","11,403","16,767","2,578","1,555","17,543","10,674"
"FY 2022","10/31/2021","QUEENS","Q11","8,907","11,469","1,048","668","8,087","5,306"
"FY 2022","10/31/2021","QUEENS","Q12","24,893","43,422","10,601","6,094","45,787","27,752"
"FY 2022","10/31/2021","QUEENS","Q13","14,604","22,813","4,500","2,773","22,056","13,957"
"FY 2022","10/31/2021","QUEENS","Q14","13,140","28,369","7,526","3,548","29,788","16,406"
"FY 2022","10/31/2021","STATEN ISLAND","S01","17,021","36,596","11,403","5,395","38,428","20,650"
"FY 2022","10/31/2021","STATEN ISLAND","S02","11,621","17,979","2,745","1,486","16,092","9,321"
"FY 2022","10/31/2021","STATEN ISLAND","S03","8,325","12,413","1,687","976","11,389","7,142"
"FY 2023","10/31/2022","BRONX","B01","11,787","36,789","15,304","8,243","44,997","25,290"
"FY 2023","10/31/2022","BRONX","B02","5,746","18,445","7,567","3,923","22,661","12,875"
"FY 2023","10/31/2022","BRONX","B03","10,622","34,826","15,322","8,263","43,273","24,411"
"FY 2023","10/31/2022","BRONX","B04","15,581","44,576","18,208","9,651","56,755","32,759"
"FY 2023","10/31/2022","BRONX","B05","13,915","43,077","18,953","10,071","54,468","31,171"
"FY 2023","10/31/2022","BRONX","B06","9,256","33,909","15,890","8,058","39,881","22,201"
"FY 2023","10/31/2022","BRONX","B07","14,205","38,917","15,596","8,444","48,684","28,487"
"FY 2023","10/31/2022","BRONX","B08","7,096","15,608","4,548","2,483","18,580","11,290"
"FY 2023","10/31/2022","BRONX","B09","17,649","46,093","17,331","8,876","56,167","31,486"
"FY 2023","10/31/2022","BRONX","B10","8,472","17,634","5,100","2,782","20,645","12,644"
"FY 2023","10/31/2022","BRONX","B11","10,014","23,315","7,654","4,137","26,671","15,641"
"FY 2023","10/31/2022","BRONX","B12","12,665","36,517","16,319","8,262","41,240","23,011"
"FY 2023","10/31/2022","BROOKLYN","K01","24,987","39,821","8,860","3,772","50,838","20,980"
"FY 2023","10/31/2022","BROOKLYN","K02","5,195","12,625","4,129","2,619","13,930","9,564"
"FY 2023","10/31/2022","BROOKLYN","K03","15,098","35,232","12,258","6,568","43,824","24,176"
"FY 2023","10/31/2022","BROOKLYN","K04","8,991","18,968","4,818","2,804","23,573","15,193"
"FY 2023","10/31/2022","BROOKLYN","K05","19,868","49,276","17,933","9,643","64,426","37,873"
"FY 2023","10/31/2022","BROOKLYN","K06","3,996","9,690","2,975","1,728","10,632","7,006"
"FY 2023","10/31/2022","BROOKLYN","K07","12,840","20,973","4,228","2,538","22,434","13,926"
"FY 2023","10/31/2022","BROOKLYN","K08","7,279","17,589","6,611","4,206","19,343","12,969"
"FY 2023","10/31/2022","BROOKLYN","K09","9,124","17,600","4,912","2,991","21,120","13,182"
"FY 2023","10/31/2022","BROOKLYN","K10","10,993","17,383","2,967","1,773","19,195","11,587"
"FY 2023","10/31/2022","BROOKLYN","K11","20,009","33,581","4,510","2,616","39,825","23,571"
"FY 2023","10/31/2022","BROOKLYN","K12","33,060","50,844","12,039","3,326","63,232","21,154"
"FY 2023","10/31/2022","BROOKLYN","K13","12,688","30,763","6,833","3,610","33,267","22,063"
"FY 2023","10/31/2022","BROOKLYN","K14","15,192","27,527","5,968","3,467","32,546","19,351"
"FY 2023","10/31/2022","BROOKLYN","K15","14,447","26,741","4,267","2,338","29,950","18,524"
"FY 2023","10/31/2022","BROOKLYN","K16","9,418","31,660","13,956","7,408","36,536","21,554"
"FY 2023","10/31/2022","BROOKLYN","K17","13,442","28,776","9,752","5,874","31,953","21,030"
"FY 2023","10/31/2022","BROOKLYN","K18","14,478","27,211","6,786","3,829","29,621","18,479"
"FY 2023","10/31/2022","MANHATTAN","M01","1,472","2,512","465","331","1,965","1,511"
"FY 2023","10/31/2022","MANHATTAN","M02","2,016","3,094","493","379","2,966","2,374"
"FY 2023","10/31/2022","MANHATTAN","M03","16,236","34,902","8,645","5,511","38,360","26,183"
"FY 2023","10/31/2022","MANHATTAN","M04","5,523","12,819","4,544","3,149","13,300","9,989"
"FY 2023","10/31/2022","MANHATTAN","M05","1,713","4,786","2,511","1,629","4,265","3,493"
"FY 2023","10/31/2022","MANHATTAN","M06","3,192","6,495","2,321","1,746","5,487","4,560"
"FY 2023","10/31/2022","MANHATTAN","M07","7,626","16,760","5,107","3,443","17,139","12,644"
"FY 2023","10/31/2022","MANHATTAN","M08","4,322","7,431","1,551","1,054","6,448","4,960"
"FY 2023","10/31/2022","MANHATTAN","M09","7,848","18,871","6,174","3,857","22,750","15,027"
"FY 2023","10/31/2022","MANHATTAN","M10","9,577","26,141","10,158","6,379","31,038","20,239"
"FY 2023","10/31/2022","MANHATTAN","M11","12,827","36,385","13,929","8,535","43,169","27,243"
"FY 2023","10/31/2022","MANHATTAN","M12","18,563","38,238","8,993","5,762","47,651","32,856"
"FY 2023","10/31/2022","QUEENS","Q01","13,366","24,095","5,694","3,304","24,394","14,959"
"FY 2023","10/31/2022","QUEENS","Q02","9,522","13,593","2,180","1,431","11,525","7,475"
"FY 2023","10/31/2022","QUEENS","Q03","18,791","25,472","3,439","2,153","24,973","14,773"
"FY 2023","10/31/2022","QUEENS","Q04","20,883","28,719","3,740","2,363","27,842","16,550"
"FY 2023","10/31/2022","QUEENS","Q05","11,701","18,053","3,368","2,094","20,584","12,290"
"FY 2023","10/31/2022","QUEENS","Q06","7,578","11,836","1,259","828","11,547","7,811"
"FY 2023","10/31/2022","QUEENS","Q07","26,597","37,913","5,494","3,564","32,606","21,573"
"FY 2023","10/31/2022","QUEENS","Q08","13,089","20,678","3,727","2,213","20,365","12,236"
"FY 2023","10/31/2022","QUEENS","Q09","13,377","21,878","4,710","2,777","24,905","14,487"
"FY 2023","10/31/2022","QUEENS","Q10","9,859","15,835","3,173","1,869","17,802","10,888"
"FY 2023","10/31/2022","QUEENS","Q11","7,628","10,480","1,296","808","9,004","5,889"
"FY 2023","10/31/2022","QUEENS","Q12","22,260","43,184","12,649","7,241","47,031","28,293"
"FY 2023","10/31/2022","QUEENS","Q13","13,183","22,345","5,200","3,198","22,102","14,026"
"FY 2023","10/31/2022","QUEENS","Q14","10,876","28,066","9,491","4,577","29,277","16,299"
"FY 2023","10/31/2022","STATEN ISLAND","S01","14,015","35,301","12,993","6,288","39,378","21,052"
"FY 2023","10/31/2022","STATEN ISLAND","S02","9,923","16,950","3,427","1,883","17,209","9,984"
"FY 2023","10/31/2022","STATEN ISLAND","S03","7,424","12,066","2,266","1,318","12,614","7,804"
