"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2018","10/31/2017","QUEENS","Q13","17,201","25,443","3,898","2,399","19,291","12,170"
"FY 2018","10/31/2017","QUEENS","Q14","12,623","29,892","7,701","3,782","28,610","15,448"
"FY 2018","10/31/2017","STATEN ISLAND","S01","19,667","39,029","11,224","5,351","37,785","19,722"
"FY 2018","10/31/2017","STATEN ISLAND","S02","12,830","19,034","2,391","1,317","14,022","8,268"
"FY 2018","10/31/2017","STATEN ISLAND","S03","8,889","12,665","1,287","737","9,798","6,203"
"FY 2019","10/31/2018","BRONX","B01","15,688","40,274","13,191","6,836","44,062","23,462"
"FY 2019","10/31/2018","BRONX","B02","7,063","19,941","6,820","3,417","21,832","11,822"
"FY 2019","10/31/2018","BRONX","B03","13,373","36,595","12,881","6,625","40,865","21,917"
"FY 2019","10/31/2018","BRONX","B04","21,358","51,043","16,475","8,205","56,613","30,779"
"FY 2019","10/31/2018","BRONX","B05","18,811","48,275","17,357","8,786","54,561","29,565"
"FY 2019","10/31/2018","BRONX","B06","11,122","35,053","14,124","6,801","38,792","20,588"
"FY 2019","10/31/2018","BRONX","B07","18,167","42,001","13,346","6,843","45,424","25,465"
"FY 2019","10/31/2018","BRONX","B08","9,205","16,868","3,283","1,723","15,917","9,525"
"FY 2019","10/31/2018","BRONX","B09","22,051","48,742","14,023","6,877","51,984","28,267"
"FY 2019","10/31/2018","BRONX","B10","9,647","17,797","3,639","1,909","17,467","10,586"
"FY 2019","10/31/2018","BRONX","B11","12,262","24,614","5,899","3,150","23,506","13,595"
"FY 2019","10/31/2018","BRONX","B12","14,250","35,952","12,815","6,332","36,775","20,042"
"FY 2019","10/31/2018","BROOKLYN","K01","36,246","49,635","6,580","2,553","51,302","20,131"
"FY 2019","10/31/2018","BROOKLYN","K02","6,947","13,822","3,162","1,946","13,371","8,954"
"FY 2019","10/31/2018","BROOKLYN","K03","20,105","40,043","10,165","5,255","43,587","23,295"
"FY 2019","10/31/2018","BROOKLYN","K04","12,513","23,206","4,392","2,423","24,325","14,624"
"FY 2019","10/31/2018","BROOKLYN","K05","25,850","54,408","14,542","7,491","62,270","34,916"
"FY 2019","10/31/2018","BROOKLYN","K06","5,287","10,207","1,859","1,080","9,841","6,487"
"FY 2019","10/31/2018","BROOKLYN","K07","23,320","30,917","3,089","1,787","21,613","12,516"
"FY 2019","10/31/2018","BROOKLYN","K08","9,003","19,799","5,398","3,143","20,353","12,867"
"FY 2019","10/31/2018","BROOKLYN","K09","11,524","19,983","4,154","2,427","20,368","12,243"
"FY 2019","10/31/2018","BROOKLYN","K10","17,490","23,077","1,881","1,171","16,689","9,629"
"FY 2019","10/31/2018","BROOKLYN","K11","32,692","45,933","3,259","1,906","35,985","20,927"
"FY 2019","10/31/2018","BROOKLYN","K12","51,432","68,038","9,651","2,454","60,831","19,744"
"FY 2019","10/31/2018","BROOKLYN","K13","16,159","34,596","4,886","2,456","31,706","20,880"
"FY 2019","10/31/2018","BROOKLYN","K14","20,942","33,316","4,669","2,638","31,123","17,985"
"FY 2019","10/31/2018","BROOKLYN","K15","21,117","33,451","3,074","1,650","27,911","17,055"
"FY 2019","10/31/2018","BROOKLYN","K16","11,947","33,004","11,683","5,767","36,584","20,156"
"FY 2019","10/31/2018","BROOKLYN","K17","14,936","28,948","7,715","4,403","29,989","18,635"
"FY 2019","10/31/2018","BROOKLYN","K18","17,551","29,594","5,323","2,869","27,558","16,446"
"FY 2019","10/31/2018","MANHATTAN","M01","1,570","2,987","669","507","2,172","1,736"
"FY 2019","10/31/2018","MANHATTAN","M02","2,763","3,909","317","263","2,995","2,356"
"FY 2019","10/31/2018","MANHATTAN","M03","24,579","42,866","6,225","4,001","36,605","24,772"
"FY 2019","10/31/2018","MANHATTAN","M04","5,985","12,678","2,979","2,108","11,648","8,747"
"FY 2019","10/31/2018","MANHATTAN","M05","1,684","6,193","2,622","1,524","5,689","3,840"
"FY 2019","10/31/2018","MANHATTAN","M06","2,969","5,568","1,075","865","4,985","4,331"
"FY 2019","10/31/2018","MANHATTAN","M07","8,362","17,204","3,549","2,382","16,199","12,133"
"FY 2019","10/31/2018","MANHATTAN","M08","4,233","7,028","862","604","5,522","4,404"
"FY 2019","10/31/2018","MANHATTAN","M09","10,389","21,494","5,020","3,092","21,984","14,362"
"FY 2019","10/31/2018","MANHATTAN","M10","12,556","29,876","9,078","5,457","32,893","20,847"
"FY 2019","10/31/2018","MANHATTAN","M11","17,039","39,464","10,250","6,114","42,146","26,194"
"FY 2019","10/31/2018","MANHATTAN","M12","25,560","45,769","6,939","4,384","46,269","31,363"
"FY 2019","10/31/2018","QUEENS","Q01","18,893","27,850","4,144","2,338","21,981","13,116"
"FY 2019","10/31/2018","QUEENS","Q02","13,506","16,872","1,637","1,062","10,662","6,672"
"FY 2019","10/31/2018","QUEENS","Q03","27,597","33,649","2,797","1,713","24,705","14,090"
"FY 2019","10/31/2018","QUEENS","Q04","30,304","36,999","2,717","1,724","25,592","14,754"
"FY 2019","10/31/2018","QUEENS","Q05","16,306","21,479","2,101","1,302","17,728","10,314"
"FY 2019","10/31/2018","QUEENS","Q06","9,193","13,193","835","547","9,955","6,884"
"FY 2019","10/31/2018","QUEENS","Q07","37,198","46,420","3,550","2,351","25,683","16,817"
"FY 2019","10/31/2018","QUEENS","Q08","17,119","24,025","3,119","1,913","17,232","10,350"
"FY 2019","10/31/2018","QUEENS","Q09","18,269","25,512","3,125","1,879","21,586","12,337"
"FY 2019","10/31/2018","QUEENS","Q10","12,976","18,524","2,497","1,442","15,844","9,430"
"FY 2019","10/31/2018","QUEENS","Q11","10,353","12,610","751","507","6,304","4,288"
"FY 2019","10/31/2018","QUEENS","Q12","25,994","44,448","10,145","5,886","43,300","25,944"
"FY 2019","10/31/2018","QUEENS","Q13","15,293","23,024","3,726","2,310","18,898","11,962"
"FY 2019","10/31/2018","QUEENS","Q14","13,055","29,729","8,201","3,688","28,651","15,411"
"FY 2019","10/31/2018","STATEN ISLAND","S01","17,773","37,833","10,975","5,160","36,803","19,401"
"FY 2019","10/31/2018","STATEN ISLAND","S02","12,267","18,359","2,343","1,319","13,796","8,234"
"FY 2019","10/31/2018","STATEN ISLAND","S03","8,888","12,435","1,214","747","9,781","6,215"
"FY 2020","10/31/2019","BRONX","B01","13,614","37,538","12,642","6,708","41,647","22,620"
"FY 2020","10/31/2019","BRONX","B02","6,165","18,517","6,486","3,345","20,330","11,248"
"FY 2020","10/31/2019","BRONX","B03","11,745","34,668","12,487","6,612","39,127","21,438"
"FY 2020","10/31/2019","BRONX","B04","18,457","46,573","15,038","7,820","51,512","28,822"
